#,Company,Symbol,Weight,      Price,Chg,% Chg
253,Church & Dwight Co. Inc.,CHD,0.075558,   90.50,0.47,-0.52%
254,MarketAxess Holdings Inc.,MKTX,0.075102,   579.18,-1.99,(-0.34%)
255,West Pharmaceutical Services Inc.,WST,0.074866,   295.80,0.78,-0.26%
256,Lennar Corporation Class A,LEN,0.074314,   75.59,-3.13,(-3.98%)
257,PPL Corporation,PPL,0.074047,   27.55,-0.51,(-1.82%)
258,First Republic Bank,FRC,0.073763,   129.77,2.05,-1.61%
259,Schlumberger NV,SLB,0.073664,   15.34,-0.18,(-1.15%)
260,Hershey Company,HSY,0.073546,   149.37,4.77,-3.30%
261,Weyerhaeuser Company,WY,0.07321,   28.28,-0.52,(-1.81%)
262,Entergy Corporation,ETR,0.072931,   104.91,-1.91,(-1.79%)
263,Phillips 66,PSX,0.072533,   46.66,-1.53,(-3.17%)
264,VeriSign Inc.,VRSN,0.072368,   206.98,-1.34,(-0.64%)
265,Discover Financial Services,DFS,0.072158,   67.91,-0.59,(-0.86%)
266,Arthur J. Gallagher & Co.,AJG,0.07175,   110.51,0.74,-0.67%
267,Maxim Integrated Products Inc.,MXIM,0.071452,   79.48,1.59,-2.04%
268,Ameriprise Financial Inc.,AMP,0.071403,   169.78,-2.91,(-1.69%)
269,Laboratory Corporation of America Holdings,LH,0.071382,   213.93,-0.49,(-0.23%)
270,Keysight Technologies Inc,KEYS,0.071314,   112.97,1.84,-1.66%
271,EOG Resources Inc.,EOG,0.071025,   34.58,-1.02,(-2.87%)
272,AvalonBay Communities Inc.,AVB,0.070909,   147.95,-0.29,(-0.20%)
273,Marathon Petroleum Corporation,MPC,0.070864,   31.58,-0.25,(-0.79%)
274,Kraft Heinz Company,KHC,0.070607,   31.44,-0.26,(-0.82%)
275,Delta Air Lines Inc.,DAL,0.070124,   31.39,-0.59,(-1.84%)
276,FLEETCOR Technologies Inc.,FLT,0.069299,   232.11,-7.89,(-3.29%)
277,Republic Services Inc.,RSG,0.069003,   97.08,1.57,-1.64%
278,Ameren Corporation,AEE,0.06882,   81.85,-0.62,(-0.75%)
279,Realty Income Corporation,O,0.068351,   58.14,0.14,-0.24%
280,Hologic Inc.,HOLX,0.068231,   75.05,-1.62,(-2.11%)
281,CDW Corp.,CDW,0.067739,   138.05,-0.13,(-0.09%)
282,Old Dominion Freight Line Inc.,ODFL,0.067515,   207.02,0.85,-0.41%
283,Simon Property Group Inc.,SPG,0.066967,   62.20,-1.27,(-2.00%)
284,LyondellBasell Industries NV,LYB,0.065328,   72.67,-1.54,(-2.08%)
285,Take-Two Interactive Software Inc.,TTWO,0.064694,   175.19,6.51,-3.86%
286,Alexandria Real Estate Equities Inc.,ARE,0.063846,   157.12,-1.27,(-0.80%)
287,International Paper Company,IP,0.063257,   46.49,-0.4,(-0.85%)
288,Paycom Software Inc.,PAYC,0.062811,   388.12,14.86,-3.98%
289,CMS Energy Corporation,CMS,0.062733,   64.18,-0.26,(-0.40%)
290,Equifax Inc.,EFX,0.062554,   150.07,-1.58,(-1.04%)
291,Amcor PLC,AMCR,0.062473,   11.52,0.01,-0.09%
292,Zebra Technologies Corporation Class A,ZBRA,0.062334,   346.86,6.74,-1.98%
293,Vulcan Materials Company,VMC,0.062289,   134.69,-2.78,(-2.02%)
294,Equity Residential,EQR,0.061282,   51.52,-0.54,(-1.04%)
295,CBRE Group Inc. Class A,CBRE,0.060734,   52.27,-0.65,(-1.23%)
296,ViacomCBS Inc. Class B,VIAC,0.060641,   29.40,-1.89,(-6.04%)
297,Conagra Brands Inc.,CAG,0.060086,   36.07,-0.09,(-0.25%)
298,Kansas City Southern,KSU,0.059528,   183.43,-0.18,(-0.10%)
299,Las Vegas Sands Corp.,LVS,0.05939,   53.00,0.4,-0.76%
300,Etsy Inc.,ETSY,0.058915,   146.10,2.46,-1.71%
301,W.W. Grainger Inc.,GWW,0.058609,   390.63,11.79,-3.11%
302,Fifth Third Bancorp,FITB,0.058605,   23.21,-0.79,(-3.29%)
303,Dover Corporation,DOV,0.058529,   116.42,-0.95,(-0.81%)
304,Tyson Foods Inc. Class A,TSN,0.058405,   57.33,-0.38,(-0.66%)
305,Quest Diagnostics Incorporated,DGX,0.058366,   126.91,-1.14,(-0.89%)
306,Northern Trust Corporation,NTRS,0.058358,   81.66,0.08,-0.10%
307,Catalent Inc,CTLT,0.057819,   103.31,0.83,-0.81%
308,Qorvo Inc.,QRVO,0.057601,   147.27,0.58,-0.40%
309,Akamai Technologies Inc.,AKAM,0.05703,   101.63,-1.08,(-1.05%)
310,Broadridge Financial Solutions Inc.,BR,0.056767,   146.59,1.91,-1.32%
311,Teradyne Inc.,TER,0.056685,   100.38,1.06,-1.07%
312,Tyler Technologies Inc.,TYL,0.056192,   414.45,4.55,-1.11%
313,Garmin Ltd.,GRMN,0.056148,   115.20,1.93,-1.70%
314,Cooper Companies Inc.,COO,0.055838,   333.91,1.91,-0.58%
315,Xylem Inc.,XYL,0.055734,   91.08,0.26,-0.29%
316,Valero Energy Corporation,VLO,0.055638,   38.17,-1.36,(-3.44%)
317,Martin Marietta Materials Inc.,MLM,0.055626,   256.18,-4.03,(-1.55%)
318,Tractor Supply Company,TSCO,0.055523,   140.45,1.47,-1.06%
319,SVB Financial Group,SIVB,0.055514,   313.37,0.7,-0.22%
320,Fortinet Inc.,FTNT,0.055284,   117.49,-2.02,(-1.69%)
321,Kellogg Company,K,0.054894,   64.35,0.05,-0.08%
322,FirstEnergy Corp.,FE,0.0545,   29.07,-0.32,(-1.09%)
323,Incyte Corporation,INCY,0.054089,   83.18,-1.47,(-1.74%)
324,Varian Medical Systems Inc.,VAR,0.054079,   173.72,0.34,-0.20%
325,Teleflex Incorporated,TFX,0.053396,   335.94,-1.33,(-0.39%)
326,Cardinal Health Inc.,CAH,0.053348,   52.64,-0.42,(-0.79%)
327,AmerisourceBergen Corporation,ABC,0.053273,   103.95,-1.47,(-1.39%)
328,Healthpeak Properties Inc.,PEAK,0.053192,   28.08,-0.58,(-2.02%)
329,Pool Corporation,POOL,0.052918,   383.04,-0.88,(-0.23%)
330,CarMax Inc.,KMX,0.052707,   92.75,-0.57,(-0.61%)
331,Nasdaq Inc.,NDAQ,0.052538,   133.02,-0.19,(-0.14%)
332,Domino's Pizza Inc.,DPZ,0.052456,   399.85,3.63,-0.92%
333,PerkinElmer Inc.,PKI,0.052422,   141.30,2.89,-2.09%
334,STERIS Plc,STE,0.052267,   181.67,2.51,-1.40%
335,Ventas Inc.,VTR,0.05211,   39.64,-1.48,(-3.60%)
336,Masco Corporation,MAS,0.051826,   58.07,0.4,-0.69%
337,Duke Realty Corporation,DRE,0.051327,   40.78,0.19,-0.47%
338,NVR Inc.,NVR,0.051071,"   4,146.33",-115.57,(-2.71%)
339,Synchrony Financial,SYF,0.05087,   26.80,-0.68,(-2.47%)
340,Ingersoll Rand Inc.,IR,0.050784,   40.25,0.45,-1.13%
341,Essex Property Trust Inc.,ESS,0.050756,   227.16,1.03,-0.46%
342,Citrix Systems Inc.,CTXS,0.050716,   118.82,-0.6,(-0.50%)
343,Nucor Corporation,NUE,0.05071,   48.42,-0.38,(-0.78%)
344,Extra Space Storage Inc.,EXR,0.050688,   112.72,-1.18,(-1.04%)
345,Expeditors International of Washington Inc.,EXPD,0.050357,   88.32,0.91,-1.04%
346,Hartford Financial Services Group Inc.,HIG,0.0494,   39.40,-0.54,(-1.35%)
347,Celanese Corporation,CE,0.048658,   119.69,0.02,-0.02%
348,FMC Corporation,FMC,0.048626,   108.66,-0.48,(-0.44%)
349,Tiffany & Co.,TIF,0.048276,   131.15,-0.01,(-0.01%)
350,Mid-America Apartment Communities Inc.,MAA,0.048275,   122.67,-1.36,(-1.10%)
351,Expedia Group Inc.,EXPE,0.048093,   103.27,0.17,-0.16%
352,Genuine Parts Company,GPC,0.048037,   94.67,-1.55,(-1.61%)
353,Arista Networks Inc.,ANET,0.047998,   260.76,3.76,-1.46%
354,AES Corporation,AES,0.04746,   20.41,-0.56,(-2.67%)
355,Hormel Foods Corporation,HRL,0.047351,   49.90,0.34,-0.69%
356,Brown-Forman Corporation Class B,BF.B,0.046933,   75.27,0.16,-0.21%
357,United Rentals Inc.,URI,0.046819,   191.46,2.99,-1.59%
358,Waters Corporation,WAT,0.046461,   222.48,4.78,-2.20%
359,Bio-Rad Laboratories Inc. Class A,BIO,0.046454,   643.45,12.88,-2.04%
360,M&T Bank Corporation,MTB,0.045668,   99.06,-4.5,(-4.35%)
361,IDEX Corporation,IEX,0.045566,   183.02,5.25,-2.95%
362,Darden Restaurants Inc.,DRI,0.045463,   100.60,-0.92,(-0.91%)
363,Regions Financial Corporation,RF,0.045413,   13.05,-0.63,(-4.61%)
364,Pioneer Natural Resources Company,PXD,0.045323,   77.27,-2.31,(-2.90%)
365,Alliant Energy Corp,LNT,0.045303,   54.57,-0.31,(-0.56%)
366,J.M. Smucker Company,SJM,0.045016,   116.62,0.82,-0.71%
367,NortonLifeLock Inc.,NLOK,0.044738,   20.69,-1.33,(-6.04%)
368,Gartner Inc.,IT,0.044578,   147.98,1.73,-1.18%
369,KeyCorp,KEY,0.044574,   12.82,-0.34,(-2.58%)
370,Jacobs Engineering Group Inc.,J,0.043847,   97.61,-0.15,(-0.15%)
371,ONEOK Inc.,OKE,0.04358,   27.01,-1.53,(-5.36%)
372,Evergy Inc.,EVRG,0.043289,   55.04,-0.15,(-0.27%)
373,Whirlpool Corporation,WHR,0.042766,   202.83,4.07,-2.05%
374,CenterPoint Energy Inc.,CNP,0.042575,   22.86,0.19,-0.84%
375,Teledyne Technologies Incorporated,TDY,0.04251,   336.83,0.62,-0.18%
376,PulteGroup Inc.,PHM,0.042427,   44.11,-1.91,(-4.15%)
377,Citizens Financial Group Inc.,CFG,0.042414,   27.71,-1.2,(-4.15%)
378,Fortune Brands Home & Security Inc.,FBHS,0.042309,   88.14,-0.99,(-1.11%)
379,Avery Dennison Corporation,AVY,0.042104,   148.26,1.22,-0.83%
380,ABIOMED Inc.,ABMD,0.04198,   272.21,-0.19,(-0.07%)
381,Leidos Holdings Inc.,LDOS,0.04181,   90.47,-0.93,(-1.02%)
382,Ulta Beauty Inc,ULTA,0.041468,   215.02,0.76,-0.35%
383,Hewlett Packard Enterprise Co.,HPE,0.041286,   9.19,-0.09,(-0.97%)
384,C.H. Robinson Worldwide Inc.,CHRW,0.041191,   90.62,1.82,-2.05%
385,Eastman Chemical Company,EMN,0.040606,   85.03,-1.39,(-1.61%)
386,Seagate Technology PLC,STX,0.040472,   53.57,0.82,-1.55%
387,Jack Henry & Associates Inc.,JKHY,0.040194,   157.16,3.5,-2.28%
388,Packaging Corporation of America,PKG,0.039607,   123.21,0.67,-0.55%
389,International Flavors & Fragrances Inc.,IFF,0.039446,   108.56,1.01,-0.94%
390,Western Digital Corporation,WDC,0.039317,   39.85,0.7,-1.79%
391,Atmos Energy Corporation,ATO,0.03899,   93.64,-1.38,(-1.45%)
392,Albemarle Corporation,ALB,0.038648,   112.20,6.7,-6.35%
393,Westinghouse Air Brake Technologies Corporation,WAB,0.038354,   61.13,-1.27,(-2.04%)
394,Cincinnati Financial Corporation,CINF,0.03832,   74.25,-0.3,(-0.40%)
395,Principal Financial Group Inc.,PFG,0.038173,   41.83,-1.18,(-2.74%)
396,Halliburton Company,HAL,0.037969,   12.29,-0.28,(-2.23%)
397,Advance Auto Parts Inc.,AAP,0.037219,   156.38,-0.05,(-0.03%)
398,Huntington Bancshares Incorporated,HBAN,0.036948,   10.21,-0.36,(-3.41%)
399,Royal Caribbean Group,RCL,0.036855,   58.50,-1.67,(-2.78%)
400,Omnicom Group Inc,OMC,0.03684,   48.36,-0.96,(-1.95%)
401,Hasbro Inc.,HAS,0.036817,   84.34,0.24,-0.29%
402,Boston Properties Inc.,BXP,0.036372,   73.56,-1.18,(-1.58%)
403,J.B. Hunt Transport Services Inc.,JBHT,0.036086,   124.55,-1.41,(-1.12%)
404,NetApp Inc.,NTAP,0.035643,   47.01,0.3,-0.64%
405,United Airlines Holdings Inc.,UAL,0.035359,   34.66,-0.69,(-1.95%)
406,Baker Hughes Company Class A,BKR,0.035096,   15.57,-0.16,(-1.02%)
407,DENTSPLY SIRONA Inc.,XRAY,0.034993,   45.89,-0.72,(-1.55%)
408,Hess Corporation,HES,0.034771,   36.49,-0.51,(-1.38%)
409,WestRock Company,WRK,0.03448,   39.02,-0.21,(-0.54%)
410,UDR Inc.,UDR,0.034042,   33.52,-0.33,(-0.97%)
411,Lamb Weston Holdings Inc.,LW,0.033947,   66.39,-1.37,(-2.02%)
412,Raymond James Financial Inc.,RJF,0.033812,   77.51,-2.13,(-2.67%)
413,LKQ Corporation,LKQ,0.03353,   33.96,-0.88,(-2.53%)
414,Campbell Soup Company,CPB,0.033445,   47.99,-0.07,(-0.15%)
415,Allegion PLC,ALLE,0.033433,   102.83,-1.3,(-1.25%)
416,Pinnacle West Capital Corporation,PNW,0.032533,   83.79,-0.69,(-0.82%)
417,Universal Health Services Inc. Class B,UHS,0.031466,   116.62,-1.2,(-1.02%)
418,Fox Corporation Class A,FOXA,0.031424,   26.00,-0.61,(-2.29%)
419,BorgWarner Inc.,BWA,0.031086,   36.43,-0.59,(-1.59%)
420,Cboe Global Markets Inc,CBOE,0.031046,   84.65,1.6,-1.93%
421,Pentair plc,PNR,0.03104,   54.15,0.38,-0.71%
422,Loews Corporation,L,0.031035,   37.69,-0.2,(-0.53%)
423,MGM Resorts International,MGM,0.030739,   22.03,0.19,-0.87%
424,Textron Inc.,TXT,0.030652,   38.83,0.06,-0.15%
425,Quanta Services Inc.,PWR,0.030594,   65.12,0.63,-0.98%
426,Rollins Inc.,ROL,0.030545,   63.16,-0.13,(-0.21%)
427,Lumen Technologies Inc.,LUMN,0.030523,   9.09,-0.19,(-2.05%)
428,Snap-on Incorporated,SNA,0.030415,   162.65,0.94,-0.58%
429,W. R. Berkley Corporation,WRB,0.030402,   62.08,-0.82,(-1.30%)
430,Henry Schein Inc.,HSIC,0.030205,   61.67,0.1,-0.16%
431,Occidental Petroleum Corporation,OXY,0.03013,   10.01,-0.46,(-4.39%)
432,NiSource Inc,NI,0.03005,   23.22,-0.43,(-1.82%)
433,Concho Resources Inc.,CXO,0.029922,   42.39,-1.24,(-2.84%)
434,Western Union Company,WU,0.029487,   20.59,-0.29,(-1.39%)
435,Everest Re Group Ltd.,RE,0.029199,   210.68,-1.15,(-0.54%)
436,Globe Life Inc.,GL,0.029059,   84.70,-1.6,(-1.85%)
437,F5 Networks Inc.,FFIV,0.028861,   144.37,3.52,-2.50%
438,Live Nation Entertainment Inc.,LYV,0.02736,   56.00,-0.43,(-0.76%)
439,Iron Mountain Inc.,IRM,0.026962,   27.25,-0.23,(-0.84%)
440,NRG Energy Inc.,NRG,0.026954,   31.23,-0.89,(-2.77%)
441,Mylan N.V.,MYL,0.026694,   14.65,-0.49,(-3.24%)
442,Assurant Inc.,AIZ,0.026493,   127.09,-0.27,(-0.21%)
443,Host Hotels & Resorts Inc.,HST,0.026487,   10.49,-0.45,(-4.07%)
444,Wynn Resorts Limited,WYNN,0.026482,   80.07,-0.06,(-0.07%)
445,L Brands Inc.,LB,0.026164,   32.90,-1.14,(-3.35%)
446,Interpublic Group of Companies Inc.,IPG,0.025852,   18.99,-0.54,(-2.76%)
447,Newell Brands Inc,NWL,0.025549,   19.04,-0.52,(-2.65%)
448,DaVita Inc.,DVA,0.025386,   98.20,0.05,-0.05%
449,Carnival Corporation,CCL,0.025245,   13.85,-0.33,(-2.33%)
450,Mohawk Industries Inc.,MHK,0.025122,   120.58,-1.59,(-1.30%)
451,Howmet Aerospace Inc.,HWM,0.025047,   19.10,0.26,-1.38%
452,A. O. Smith Corporation,AOS,0.025035,   54.56,0.74,-1.37%
453,Molson Coors Beverage Company Class B,TAP,0.024566,   38.32,0.07,-0.18%
454,IPG Photonics Corporation,IPGP,0.024017,   198.89,1.34,-0.68%
455,Juniper Networks Inc.,JNPR,0.023605,   20.59,0.08,-0.39%
456,Tapestry Inc.,TPR,0.023441,   24.32,-0.39,(-1.58%)
457,DISH Network Corporation Class A,DISH,0.023227,   27.71,0.32,-1.17%
458,Sealed Air Corporation,SEE,0.022736,   42.16,-0.26,(-0.61%)
459,Cabot Oil & Gas Corporation,COG,0.022529,   16.44,-0.01,(-0.06%)
460,Lincoln National Corporation,LNC,0.022418,   34.07,-1.83,(-5.10%)
461,Comerica Incorporated,CMA,0.022202,   44.95,-1.52,(-3.27%)
462,Huntington Ingalls Industries Inc.,HII,0.021303,   152.72,0.91,-0.60%
463,Perrigo Co. Plc,PRGO,0.021123,   44.70,-0.51,(-1.13%)
464,Discovery Inc. Class C,DISCK,0.020592,   18.88,-0.48,(-2.48%)
465,Robert Half International Inc.,RHI,0.02057,   51.74,-0.48,(-0.92%)
466,Mosaic Company,MOS,0.020553,   16.89,-0.28,(-1.63%)
467,CF Industries Holdings Inc.,CF,0.020092,   27.33,-0.01,(-0.04%)
468,American Airlines Group Inc.,AAL,0.019848,   11.44,-0.16,(-1.38%)
469,Regency Centers Corporation,REG,0.019619,   34.05,-2.13,(-5.89%)
470,Leggett & Platt Incorporated,LEG,0.018761,   40.67,-1.64,(-3.88%)
471,Franklin Resources Inc.,BEN,0.018508,   19.81,-0.32,(-1.59%)
472,Invesco Ltd.,IVZ,0.01846,   13.88,-0.55,(-3.81%)
473,Zions Bancorporation N.A.,ZION,0.018356,   31.95,-0.63,(-1.93%)
474,News Corporation Class A,NWSA,0.017966,   15.16,1.16,-8.29%
475,Vornado Realty Trust,VNO,0.017333,   30.37,-1.48,(-4.65%)
476,Federal Realty Investment Trust,FRT,0.01727,   70.99,-1.11,(-1.54%)
477,DXC Technology Co.,DXC,0.017193,   18.27,-1.31,(-6.69%)
478,Nielsen Holdings Plc,NLSN,0.016986,   14.18,0.05,-0.35%
479,Alaska Air Group Inc.,ALK,0.016553,   38.23,-0.95,(-2.42%)
480,FLIR Systems Inc.,FLIR,0.016417,   34.80,-0.85,(-2.38%)
481,People's United Financial Inc.,PBCT,0.01607,   10.49,-0.52,(-4.72%)
482,Hanesbrands Inc.,HBI,0.015952,   12.81,-0.52,(-3.90%)
483,PVH Corp.,PVH,0.015219,   59.10,-3.34,(-5.35%)
484,Norwegian Cruise Line Holdings Ltd.,NCLH,0.015214,   16.92,-0.33,(-1.91%)
485,Kimco Realty Corporation,KIM,0.01509,   10.26,-0.33,(-3.12%)
486,Gap Inc.,GPS,0.015038,   21.40,0.1,-0.47%
487,Diamondback Energy Inc.,FANG,0.014483,   24.99,-1.21,(-4.62%)
488,Fox Corporation Class B,FOX,0.014467,   25.74,-0.63,(-2.39%)
489,Flowserve Corporation,FLS,0.013871,   28.97,-2.65,(-8.38%)
490,Vontier Corp,VNT,0.013602,   28.94,-0.41,(-1.40%)
491,Apartment Investment & Management Co Class A,AIV,0.013558,   25.86,-0.69,(-2.60%)
492,Unum Group,UNM,0.013539,   18.13,-0.75,(-3.97%)
493,Devon Energy Corporation,DVN,0.013387,   9.76,-0.29,(-2.89%)
494,National Oilwell Varco Inc.,NOV,0.012183,   9.00,-0.3,(-3.23%)
495,Xerox Holdings Corporation,XRX,0.012147,   19.19,0.15,-0.79%
496,Ralph Lauren Corporation Class A,RL,0.011964,   68.23,-1.7,(-2.43%)
497,Marathon Oil Corporation,MRO,0.011851,   4.17,-0.12,(-2.80%)
498,Discovery Inc. Class A,DISCA,0.011568,   20.93,-0.5,(-2.33%)
499,Apache Corporation,APA,0.011511,   8.54,-0.44,(-4.85%)
500,SL Green Realty Corp.,SLG,0.011429,   43.82,-1.57,(-3.46%)
